관리지역,배움터 유형,배움터명,배움터주소,시군구,이용정원
부산광역시,거점센터,부산도서관,부산광역시 사상구 사상로310번길 33 (덕포동),사상구,15
부산광역시,거점센터,부산유라시아플랫폼,부산광역시 동구 중앙대로 210 (초량동),동구,15
부산광역시,체험존,동래구 평생학습관 [체험존],부산광역시 동래구 시실로 129 (명장동) 동래구 평생학습관,동래구,10
부산광역시,체험존,신평하하센터 [체험존],부산광역시 사하구 하신중앙로 175 (신평동) 부산1호선 신평역 2층 역사 안,사하구,10
부산광역시,체험존,동삼종합사회복지관 [체험존],부산광역시 영도구 상리로 63-16 (동삼동) 동삼종합사회복지관 1층 로비,영도구,10
부산광역시,체험존,부산유라시아플랫폼 [체험존],부산광역시 동구 중앙대로 210 (초량동) 부산유라시아플랫폼 B동 1층 로비,동구,10
부산광역시,체험존,부산발달장애인훈련센터 [체험존],부산광역시 부산진구 범일로 181 (범천동) 사학연금회관 14층 KT 체험관,부산진구,10
부산광역시,체험존,중구노인복지관 [체험존],부산광역시 중구 책방골목길 3-1 (보수동1가) 중구노인복지관 본관 4층 로비,중구,10
부산광역시,체험존,서구청 [체험존],부산광역시 서구 구덕로 120 (토성동4가) 서구청  본관 1층 로비,서구,10
부산광역시,체험존,용호종합사회복지관 [체험존],부산광역시 남구 이기대공원로 7 (용호동) 복지관 2층 로비,남구,10
부산광역시,체험존,금곡종합사회복지관 [체험존],부산광역시 북구 효열로 144 (금곡동) 복지관 1층 로비,북구,10
부산광역시,체험존,해운대종합사회복지관 [체험존],부산광역시 해운대구 재반로12번길 16 (재송동) 복지관 2층 작은 도서관,해운대구,10
부산광역시,체험존,강서구종합사회복지관 [체험존],부산광역시 강서구 대저로63번길 31 (대저1동) 복지관 지하 1층 경로식당,강서구,10
부산광역시,체험존,거제종합사회복지관 [체험존],부산광역시 연제구 아시아드대로46번길 45 (거제동) 복지관 1층 로비,연제구,10
부산광역시,체험존,부산종합사회복지관 [체험존],부산광역시 수영구 금련로43번길 54 (망미동) 복지관 2층 프로그램 1실,수영구,10
부산광역시,체험존,학장종합사회복지관 [체험존],"부산광역시 사상구 학감대로49번길 28-70 (학장동) 복지관 2층 프로그램 1실, 건강증진실",사상구,10
부산광역시,체험존,다행복한종합사회복지관 [체험존],부산광역시 기장군 기장읍 차성로417번길 11  복지관 B동 1층 로비 입구 근처 컴퓨터실 전자칠판 기준 우측 뒤쪽 공간,기장군,10
부산광역시,체험존,부산도서관 [체험존],부산광역시 사상구 사상로310번길 33 (덕포동) 1층  로비,사상구,10
부산광역시,체험존,금정HAHA캠퍼스 [체험존],부산광역시 금정구 기찰로102번길 56-7 (부곡동) 부산가톨릭대학교 신학교정 한국외방선교수녀회 1층 로비,금정구,10
